Cell_area_measured,Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_volume,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,Backcontact_deposition_synthesis_atmosphere,Encapsulation,Encapsulation_stack_sequence,Encapsulation_edge_sealing_materials,Encapsulation_atmosphere_for_encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_default_PCE,cluster_label
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,14.5,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.3,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,14.6,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.3,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,16.2,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,16.7,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,16.2,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,16.7,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.4,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.5,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,14.5,2
0.09,16.9513781,16.97774088,17.51975069,16.05784952,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,18.68074248,TRUE,17.16245977,16.89333544,100,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,17.81,2
0.09,16.9513781,16.88191,16.89070724,16.99461778,16.89816499,18.06141225,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,17.92641532,1,16.94809365,16.94558657,16.91421255,16.73240854,16.76402135,TRUE,17.10978162,16.89333544,150,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,2,16.96681304,100,16.90864407,FALSE,17.56,2
0.09,16.9513781,16.88191,16.89070724,16.99461778,16.89816499,18.06141225,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,17.92641532,1,16.94809365,16.94558657,16.91421255,16.73240854,16.76402135,TRUE,17.10978162,16.89333544,150,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,17.82,2
0.09,16.9513781,16.88191,16.89070724,16.99461778,16.89816499,18.06141225,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,17.92641532,1,16.94809365,16.94558657,16.91421255,16.73240854,16.76402135,TRUE,17.10978162,16.89333544,150,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,2,16.96681304,100,16.90864407,FALSE,17.69,2
0.09,16.9513781,16.88191,16.89070724,16.99461778,16.89816499,18.06141225,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,17.92641532,1,16.94809365,16.94558657,16.91421255,16.73240854,16.76402135,TRUE,17.10978162,16.89333544,150,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,17.91,2
0.09,16.9513781,16.88191,16.89070724,16.99461778,16.89816499,18.06141225,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,17.92641532,1,16.94809365,16.94558657,16.91421255,16.73240854,16.76402135,TRUE,17.10978162,16.89333544,150,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,2,16.96681304,100,16.90864407,FALSE,18.1,2
0.09,16.9513781,16.88191,16.89070724,16.99461778,16.89816499,18.06141225,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,17.92641532,1,16.94809365,16.94558657,16.91421255,16.73240854,16.76402135,TRUE,17.10978162,16.89333544,150,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,18.45,2
0.09,16.9513781,16.88191,16.89070724,16.99461778,16.89816499,18.06141225,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,17.92641532,1,16.94809365,16.94558657,16.91421255,16.73240854,16.76402135,TRUE,17.10978162,16.89333544,150,30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,2,16.96681304,100,16.90864407,FALSE,18.75,2
