Cell_area_measured,Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_volume,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,Backcontact_deposition_synthesis_atmosphere,Encapsulation,Encapsulation_stack_sequence,Encapsulation_edge_sealing_materials,Encapsulation_atmosphere_for_encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_default_PCE,cluster_label
0.09,16.80675605,16.88191,16.74590643,16.34141762,16.89816499,17.10117998,17.68297128,16.90256995,16.90295775,17.39745358,18.23134257,False,False,17.92641532,1,16.94809365,16.94558657,16.99358663,17.13065005,17.22021704,True,16.61570326,16.89333544,18.06928165,16.53520085,False,16.7745203,16.90999372,16.90689062,16.78803364,17.00204843,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,1,16.96681304,100,16.90864407,False,17.42,2
0.09,16.80675605,16.88191,16.74590643,16.34141762,16.89816499,17.10117998,17.00339255,16.90256995,16.90295775,17.39745358,16.82775063,False,False,17.92641532,1,16.94809365,16.94558657,16.99358663,17.13065005,17.22021704,True,16.61570326,16.89333544,18.06928165,16.53520085,False,16.7745203,16.90999372,16.90689062,16.78803364,17.00204843,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,1,16.96681304,100,16.90864407,False,17.42,2
0.09,16.80675605,16.88191,16.74590643,16.34141762,16.89816499,17.10117998,17.26916945,16.90256995,16.90295775,17.39745358,18.00844517,False,False,17.92641532,1,16.94809365,16.94558657,16.99358663,17.13065005,17.22021704,True,16.61570326,16.89333544,18.06928165,16.53520085,False,16.7745203,16.90999372,16.90689062,16.78803364,17.00204843,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,1,16.96681304,100,16.90864407,False,17.42,2
0.09,16.80675605,16.88191,16.74590643,16.34141762,16.89816499,17.10117998,16.73244784,16.90256995,16.90295775,17.39745358,17.65712596,False,False,17.92641532,1,16.94809365,16.94558657,16.99358663,17.13065005,17.22021704,True,16.61570326,16.89333544,18.06928165,16.53520085,False,16.7745203,16.90999372,16.90689062,16.78803364,17.00204843,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,1,16.96681304,100,16.90864407,False,17.42,2
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,17.11363943,17.23291826,16.90256995,16.90295775,17.39745358,16.91975805,False,False,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,16.88924,True,17.10978162,16.89333544,16.89213708,17.12,False,16.97250735,16.90999372,16.88820148,17.00282979,16.94609354,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,40,16.96681304,100,16.90864407,False,19.4,2
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,17.11363943,17.37083324,16.90256995,16.90295775,17.39745358,17.37083324,False,False,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,16.88924,True,17.10978162,16.89333544,16.89213708,17.12,False,16.97250735,16.90999372,16.88820148,17.00282979,16.94609354,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,40,16.96681304,100,16.90864407,False,20.46,2
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,17.11363943,16.60579541,16.90256995,16.90295775,17.39745358,17.30097178,False,False,16.81074557,1,16.94809365,16.94558657,16.99358663,17.13065005,16.88924,True,17.10978162,16.89333544,16.89213708,17.12,False,16.97250735,16.90999372,16.88820148,17.00282979,16.94609354,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,40,16.96681304,100,16.90864407,False,14.58,2
0.09,16.80675605,16.97774088,16.69942933,16.35776447,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,False,False,16.81074557,1,16.94809365,16.94558657,16.91421255,17.13065005,17.22021704,True,17.10978162,16.89333544,16.98485954,17.10721226,False,16.42651769,16.90999372,16.88820148,16.78803364,16.94609354,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,1,16.96681304,100,16.90864407,False,16.57,2
0.09,16.80675605,16.97774088,16.69942933,16.35776447,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,False,False,16.81074557,1,16.94809365,16.94558657,16.91421255,17.13065005,17.22021704,True,17.10978162,16.89333544,16.98485954,17.10721226,False,16.42651769,16.90999372,16.88820148,16.78803364,16.94609354,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,1,16.96681304,100,16.90864407,False,17.54,2
0.09,16.80675605,16.97774088,16.69942933,16.35776447,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,False,False,16.81074557,1,16.94809365,16.94558657,16.91421255,17.13065005,17.22021704,True,17.10978162,16.89333544,16.98485954,17.10721226,False,16.42651769,16.90999372,16.88820148,16.78803364,16.94609354,16.92919141,16.89492723,False,16.90759836,16.90744266,16.91091507,True,1,16.96681304,100,16.90864407,False,20.22,2
